Model,Accuracy,Balanced Accuracy,Sensitivity,Precision,F1 Score,ROC AUC,PR AUC
Random Forest,0.9604395604395604,0.9553663570691434,0.9352941176470588,0.9589285714285716,0.9465085638998684,0.9889576883384933,0.9876801523278316
Tuned & Pruned CART,0.9428571428571428,0.9377708978328174,0.9176470588235294,0.9310401998637292,0.922335426081224,0.9477296181630546,0.8988524222926733
Basic CART,0.923076923076923,0.9172342621259031,0.8941176470588236,0.8995926073131955,0.8961838768798172,0.9172342621259031,0.8453273548321126
Dummy,0.6263736263736264,0.5,0.0,0.0,0.0,0.5,0.37362637362637363
